,Publication
6550,"Reiche, D. and Krebs, C. 1998. ""Der Agenda-Setting-Prozess der Ökologischen Steuerreform"" , Zeitschrift für Umweltpolitik & Umweltrecht"
6551,"Reiche, D. ""Rahmenbedingungen für erneuerbare Energien in Deutschland. Möglichkeiten und Grenzen einer Vorreiterpolitik "" , Frankfurt am Main, Germany: Peter Lang, 2004"
6552,"Reiche, D. ""Restriktionen und Erfolgsbedingungen erneuerbarer Energien in Polen"" , Frankfurt am Main, Germany: Peter Lang, 2003"
6553,"Reiche, D. ""Erneuerbare Energien in den Niederlanden. Pfadabhängigkeiten, Akteure, Belief Systeme und Restriktionen "" , Frankfurt am Main, Germany: Peter Lang, 2002"
6554,"Krebs, C. and Reiche, D. ""Der Einstieg in die Ökologische Steuerreform. Aufstieg, Restriktionen und Durchsetzung eines umweltpolitischen Themas"" , Frankfurt am Main, Germany: Peter Lang, 1999"
6555,"Reiche, D. and Krebs, C. ""Der mühsame Weg zu einer Ökologischen Steuerreform - Ein Beitrag zur Systematisierung der Debatte"" , Frankfurt am Main, Germany: Peter Lang, 1996"
6556,"Reiche, D., Krebs, C., and Rocholl, M. ""Die Ökologische Steuerreform - was sie ist, wie sie funktioniert, was sie uns bringt"" , Frankfurt am Main, Germany: Peter Lang, 1996'"
6557,"['Isber, S., et al. 2009. ""Study of manganese oxide thin films grown by pulsed laser deposition"" , Thin Solid Films, vol.517, no.5, pp-1592-1595', 'Tabbal, M., et al. 2007. ""Amorphous to crystalline phase transition in pulsed laser deposited silicon carbide"" , Applied Surface Science, vol.253, no.17, pp-7050-7059', 'Madi, C., et al. 2007. ""Microstructural characterization of chromium oxide thin films grown by remote plasma assisted pulsed laser deposition"" , Journal of Physics: Conference Series, vol.59, no.1, pp-600-604', 'Tabbal, M., et al. 2006. ""Pulsed laser deposition of nanostructured dichromium trioxide thin films"" , Thin Solid Films, vol.515, no.4, pp-1976-1984', 'Tabbal, M., et al. 2005. ""Correlation between the sp 2-phase nanostructure and the physical properties of unhydrogenated carbon nitride"" , Journal of Applied Physics, vol.98, no.4', 'Isber, S., et al. 2005. ""Exchange coupling in spins quartet of dimeric polyoxoanions [M 4(H2O)2(GeW9O34) 212- (M=Mn2+, Cu2+)"" , Journal of Magnetism and Magnetic Materials, vol.290-291 PART 2, pp-985-988', 'Isber, S., et al. 2005. ""Crystal-field investigations and magnetic properties of Nd 3+-doped Bi 4Si 3O 12"" , Physical Review B - Condensed Matter and Materials Physics, vol.71, no.1', 'Christidis, T., et al. 2004. ""Temperature dependence of the electron paramagnetic resonance of unhydrogenated carbon nitride"" , Diamond and Related Materials, vol.13, no.4-8, pp-1561-1564', 'Tabbal, M., et al. 2004. ""Graphitic nanoclustering in pulsed laser deposited diamond-like-carbon and carbon nitride thin films"" , Thin Solid Films, vol.453-454, pp-234-238', 'Errebbahi, A., et al. 2002. ""Investigation of the effect of annealing on the magnetic properties of Sn1-xEuxTe single crystals"" , Journal of Magnetism and Magnetic Materials, vol.248, no.1, pp-68-74', 'Errebbahi, A., et al. 2002. ""Investigation of the effect of annealing on the magnetic properties of Sn1-xEuxTe single crystals"" , Journal of Magnetism and Magnetic Materials, vol.247, no.1, pp-55-61', 'Christidis, T., et al. 2002. ""Magnetic properties of cadmium copper tetrachloride tetrahydrate"" , Journal of Magnetism and Magnetic Materials, vol.242-245, no.PART II, pp-939-942', 'Christidis, T., et al. 2001. ""Comparative EPR study of hydrogenated and unhydrogenated amorphous silicon carbide thin films"" , Applied Surface Science, vol.184, no.1-4, pp-268-272', 'Tabbal, M., et al. 2001. ""Enhancement of the molecular nitrogen dissociation levels by argon dilution in surface-wave-sustained plasmas"" , Applied Physics Letters, vol.78, no.15, pp-2131-2133', 'Isber, S., et al. 2001. ""High-frequency EPR of Co2+ in CdSe"" , Physica B: Condensed Matter, vol.293, no.3-4, pp-304-307', 'Tabbal, M., et al. 2000. ""Effect of deposition temperature on the optical transmission and paramagnetic centers in pulsed laser deposited amorphous silicon carbide thin films"" , Journal of Applied Physics, vol.88, no.9, pp-5127-5133', 'Christidis, T.C., Mchaourab, H.S., and Hyde, J.S. 1996. ""Hyperfine selectivity using multiquantum electron-nuclear-electron triple resonance"" , Journal of Chemical Physics, vol.104, no.23, pp-9644-9646', 'Pace, M.D. and Christidis, T.C. 1995. ""Proton ENDOR of dimethylnitramine free radicals"" , Applied Magnetic Resonance, vol.9, no.4, pp-539-552', 'Mchaourab, H.S., Christidis, T.C., and Hyde, J.S. 1993. ""Continuous wave multiquantum electron paramagnetic resonance spectroscopy. IV. Multiquantum electron-nuclear double resonance"" , The Journal of Chemical Physics, vol.99, no.7, pp-4975-4985', 'Pace, M.D., Christidis, T.C., and Hyde, J.S. 1993. ""S-Band ENDOR of Hyperfine Interactions of 1H and 14N Nuclei in Trinitrophenylmethylnitroxide"" , Journal of Magnetic Resonance, Series A, vol.102, no.1, pp-101-104', 'Pace, M.D., et al. 1992. ""EPR of a free radical in C60: Effect of O2"" , Journal of Physical Chemistry, vol.96, no.17, pp-6855-6858', 'Mchaourab, H.S., et al. 1991. ""Multiple-quantum electron-electron double resonance"" , Journal of Magnetic Resonance (1969), vol.92, no.2, pp-429-433', 'Christidis, T.C. and Heineken, F.W. 1988. ""Electron spin resonance and ENDOR study of the photochemical decomposition of substituted quinoxaline bis-N-oxides"" , Journal of the Chemical Society, Faraday Transactions 1: Physical Chemistry in Condensed Phases, vol.84, no.10, pp-3263-3265', 'Christidis, T.C. and Heineken, F.W. 1985. ""Cylindrical Tm//1//1//0 Endor Cavity."" , Journal of Physics E: Scientific Instruments, vol.18, no.4, pp-281-283', 'Baker, J.M., et al. 1978. ""17O ENDOR of CeO2:Yb3+: Evidence for covalency"" , Journal of Physics C: Solid State Physics, vol.11, no.14, pp-3071-3080', 'Baker, J.M. and Christidis, T. 1977. ""Ligand ENDOR in alkaline earth fluorides containing Gd3+ at cubic sites"" , Journal of Physics C: Solid State Physics, vol.10, no.7, pp-1059-1062', 'Baker, J.M. and Christidis, T. 1976. ""The determination of the energy of the ÃƒÂƒÃ‚ÂŽÃƒÂ¢Ã‚Â€Ã‚Âœ 7 state of Dy3+ on cubic sites in CaF2 using EPR"" , Journal of Physics C: Solid State Physics, vol.9, no.20, pp-3813-3817', 'Baker, J.M. and Christidis, T. 1976. ""Endor of 19F ligands of Eu2+ and Gd3+ in flourite crystals under uniaxial stress"" , Physics Letters A, vol.59, no.2, pp-171-172', 'Baker, J.M. and Christidis, T. 1975. ""The transferred hyperfine interaction between the interstitial 19F nucleus and Yb3+ ions on tetragonal sites in CaF 2"" , Journal of Physics C: Solid State Physics, vol.8, no.15', 'Heineken, F.W. and Christidis, T.C. 1975. ""Endor Spectroscopy Of The Free Radicals Of Some Conjugated Hydrocarbons In Liquid Solution."" , pp-503-504', 'Christidis, T.C. and Heineken, F.W. 1973. ""A microwave cavity for high power ENDOR spectroscopy"" , Journal of Physics E: Scientific Instruments, vol.6, no.5, pp-432-434', 'Christidis, T.C. and Heineken, F.W. 1973. ""Endor investigation of biphenyl and some of its methyl derivaties"" , Chemical Physics, vol.2, no.2, pp-239-244', 'Tabbal, M., et al. 2009. ""Synthesis of nano-grained MnO2 thin films by laser ablation"" , Proceedings of SPIE - The International Society for Optical Engineering', 'Tabbal, M., et al. 2007. ""Excimer laser processing of novel materials for optoelectronic and spintronic applications"" , Proceedings of SPIE - The International Society for Optical Engineering', 'Christidis, T. 1984. ""Temperature Dependence Of Endor Enhancement In Semiquinones."" (447-448)'"
6558,"Matsumoto, D., Yoo, S.H., and Fontaine, J. 2009. ""Hypocrisy or maturity? culture and context differentiation"" , European Journal of Personality, vol.23, no.3, pp-251-264"
6559,"Fischer, R., et al. 2009. ""Individualism-collectivism as descriptive norms: Development of a subjective norm approach to culture measurement"" , Journal of Cross-Cultural Psychology, vol.40, no.2, pp-187-213"
6560,"Fischer, R., et al. 2008. ""Support for resistance among Iraqi students: An exploratory study"" , Basic and Applied Social Psychology, vol.30, no.2, pp-167-175"
6561,"Harb, C. and Smith, P.B. 2008. ""Self-construals across cultures: Beyond independence-interdependence"" , Journal of Cross-Cultural Psychology, vol.39, no.2, pp-178-197"
6562,"Matsumoto, D., et al. 2008. ""Mapping expressive differences around the world: The relationship between emotional display rules and individualism versus collectivism"" , Journal of Cross-Cultural Psychology, vol.39, no.1, pp-55-74"
6563,"Smith, P.B., Achoui, M., and Harb, C. 2007. ""Unity and diversity in Arab managerial styles"" , International Journal of Cross Cultural Management, vol.7, no.3, pp-275-289"
6564,"Smith, P.B., et al. 2005. ""Demographic effects on the use of vertical sources of guidance by managers in widely differing cultural contexts"" , International Journal of Cross Cultural Management, vol.5, no.1, pp-5-26"
6565,"Fischer, R., et al. 2005. ""Organizational behaviour across cultures: Theoretical and methodological issues for developing multi-level frameworks involving culture"" , International Journal of Cross Cultural Management, vol.5, no.1, pp-27-48"
6566,"Bond, M.H., et al. 2004. ""Culture-level dimensions of social axioms and their correlates across 41 cultures"" , Journal of Cross-Cultural Psychology, vol.35, no.5, pp-548-570"
6567,"Smith, P.B., et al. 2002. ""Cultural values, sources of guidance, and their relevance to managerial behavior: A 47-nation study"" , Journal of Cross-Cultural Psychology, vol.33, no.2, pp-188-208"
6568,"Smith, P.B., et al. 2001. ""The journal of cross-cultural psychology between 1993 and 2000: Looking back and looking ahead"" , Journal of Cross-Cultural Psychology, vol.32, no.1, pp-9-17"
6569,"Sidani, M., Mrad, F., and Chaaban, F. 2008. ""Adaptive direct torque control of induction motors"" , Electric Power Components and Systems, vol.36, no.7, pp-696-718"
6570,"Chaaban, F.B., Mezher, T., and Ouwayjan, M. 2004. ""Options for emissions reduction from power plants: An economic evaluation"" , International Journal of Electrical Power and Energy System, vol.26, no.1, pp-57-63"
6571,"Chedid, R. and Chaaban, F. 2003. ""Renewable-energy developments in Arab countries: A regional perspective"" , Applied Energy, vol.74, no.1-2, pp-211-220"
6572,"Sawaya, E., Ghaddar, N., and Chaaban, F. 2002. ""Evaluation of the Hall parameter of electrolyte solutions in thermosyphonic MHD flow"" , International Journal of Engineering Science, vol.40, no.18, pp-2041-2056"
6573,"Karaki, S.H., et al. 2002. ""Power generation expansion planning with environmental consideration for Lebanon"" , International Journal of Electrical Power and Energy Systems, vol.24, no.8, pp-611-619"
6574,"Chaaban, F.B., Nuwayhid, I., and Djoundourian, S. 2001. ""A study of social and economic implications of mobile sources on air quality in Lebanon"" , Transportation Research Part D: Transport and Environment, vol.6, no.5, pp-347-355"
6575,"Chedid, R., et al. 2001. ""Assessment of energy efficiency measures: The case of the Lebanese energy sector"" , International Journal of Energy Research, vol.25, no.4, pp-355-374"
6576,"Chedid, R., Chaaban, F., and Salameh, S. 2001. ""Policy analysis of greenhouse gas emissions: The case of the Lebanese electricity sector"" , Energy Conversion and Management, vol.42, no.3, pp-373-392"
6577,"Chaaban, F.B., Ayoub, G.M., and Oulabi, M. 2001. ""A preliminary evaluation of selected transport-related pollutants in the ambient atmosphère of the city of Beirut, Lebanon"" , Water, Air, and Soil Pollution, vol.126, no.1-2, pp-53-62"
6578,"Chaaban, F.B. and El-Hajj, A. 2000. ""A cost-effective design approach for permanent magnet brushless machines"" , Electric Machines and Power Systems, vol.28, no.10, pp-893-900"
6579,"Abboud, N.E., Chaaban, F.B., and Tabanji, W.E. 2000. ""Economic evaluation of alternatives to reduce SO2 emissions from power plants"" , International Journal of Environmental Studies, vol.57, no.2, pp-225-238"
6580,"Chaaban, F., Ghaddar, N., and Nahleh, A. 1999. ""Experimental study of a novel thermosyphonic MHD electric generator"" , SAE Technical Papers"
6581,"Chaaban, F.B. and Rahman, S. 1998. ""Baseline energy and electricity consumptions in Lebanon and opportunities for conservation"" , Energy Policy, vol.26, no.6, pp-487-493"
6582,"Chaaban, F.B., Chedid, R., and Mellor, P.H. 1996. ""Steady state and sensitivity analysis of high-field permanent magnet machines"" , Electric Machines and Power Systems, vol.24, no.6, pp-639-651"
6583,"Chaaban, F.B., Assi, R., and Abdo, J. 1995. ""A Century of energy conversion — an environmental overview"" , International Journal of Environmental Studies, vol.47, no.2, pp-133-142"
6584,"Chaaban, F.B. 1994. ""Determination of the optimum rotor/stator diameter ratio of permanent magnet machines"" , Electric Machines and Power Systems, vol.22, no.4, pp-521-531"
6585,"Bnaldomir, D., et al. 1993. ""Major design parameters of a solid canned permanent magnet with skewed magnets"" , IEE Proceedings, Part B: Science, Measurement and Technology, vol.140, no.2, pp-166-172"
6586,"Mellor, P.H., Chaaban, F.B., and Binns, K.J. 1991. ""Estimation of parameters and performance of rare-earth permanent-magnet motors avoiding measurement of load angle"" , IEE Proceedings B: Electric Power Applications, vol.138, no.6, pp-322-330"
6587,"Chedid, R., Chaaban, F.B., and Shihab, R. 2007. ""A simplified electric circuit model for the analysis of hybrid wind-fuel cell systems"" , 2007 IEEE Power Engineering Society General Meeting, PES"
6588,"Chaaban, F.B., Chedid, R., and Karaki, S. 1994. ""Spreadsheet implementation in electric power engineering"" , Proceedings - Frontiers in Education Conference(515-520)"
6589,"Chaaban, F.B., et al. 1991. ""Topologies for a permanent magnet generator/speed sensor for the ABS on railway freight vehicles"" , IEE Conference Publication(31-35)"
6590,"Chaaban, F.B., Mellor, P.H., and Binns, K.J. 1990. ""Practical modelling of permanent magnet synchronous machines with rare-earth magnets"" , Conference Record - IAS Annual Meeting (IEEE Industry Applications Society)(140-145)"
6591,"Binns, K.J., Hameed, A.A.KM., and Chaaban, F.B. 1989. ""Canned solid rotor permanent magnet machine with skewed-radial neodymium-iron-boron magnets"" , IEE Conference Publication(57-60)'"
6592,"Tfayli H, Arslanian S. 2009. ""Pathophysiology of type 2 diabetes mellitus in youth: the evolving chameleon."" , Arquivos brasileiros de endocrinologia e metabologia, vol.53, no.2, pp-165-74"
6593,"Tfayli H, Bacha F, Gungor N, Arslanian S. 2009. ""Phenotypic type 2 diabetes in obese youth: insulin sensitivity and secretion in islet cell antibody-negative versus -positive patients."" , Diabetes, vol.58, no.3, pp-738-44"
6594,"Tfayli H, Arslanian S. 2008. ""Menstrual health and the metabolic syndrome in adolescents."" , Annals of the New York Academy of Sciences, vol.1135, pp-85-94"
6595,"Tfayli H, Arslanian Silva. 2007. ""The challenge of adolescence: hormonal changes and sensitivity to insulin."" , Diabetes Voice, vol.52, pp-28-30"
6596,"Bazzi, L.M.J. 2009. ""Polylogarithmic independence can fool DNF formulas"" , SIAM Journal on Computing, vol.38, no.6, pp-2220-2272"
6597,"Bazzi, L., Mahdian, M., and Spielman, D.A. 2009. ""The minimum distance of turbo-like codes"" , IEEE Transactions on Information Theory, vol.55, no.1, pp-6-15"
6598,"Bazzi, LAJ. and Mitter, SK. 2006. ""Some randomized code constructions from group actions"" , IEEE TRANSACTIONS ON INFORMATION THEORY, vol.52, no.7, pp-3210-3219"
6599,"Bazzi, L.M.J. and Mitter, S.K. 2006. ""Some randomized code constructions from group actions"" , IEEE Transactions on Information Theory, vol.52, no.7, pp-3210-3219"
6600,"Bazzi, L.M.J. and Mitter, S.K. 2005. ""Endcoding complexity versus minimum distance"" , IEEE Transactions on Information Theory, vol.51, no.6, pp-2103-2112"
6601,"Bazzi, L. and Mitter, S. 2003. ""The solution of linear probabilistic recurrence relations"" , Algorithmica (New York), vol.36, no.1, pp-41-57"
6602,"Bazzi, L. and Mitter, S. 2003. ""The solution of linear probabilistic recurrence relations"" , ALGORITHMICA, vol.36, no.1, pp-41-57"
6603,"Akra, M., Bazzi, L., and Mitter, S. 1999. ""Sampling of images for efficient model-based vision"" , IEEE Transactions on Pattern Analysis and Machine Intelligence, vol.21, no.1, pp-4-11"
6604,"Akra, M., Bazzi, L., and Mitter, S. 1999. ""Sampling of images for efficient model-based vision"" , IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE, vol.21, no.1, pp-4-11"
6605,"Akra, Mohamad. and Bazzi, Louay. 1998. ""On the solution of linear recurrence equations"" , Computational Optimization and Applications, vol.10, no.2, pp-195-210"
6606,"Akra, M. and Bazzi, L. 1998. ""On the solution of linear recurrence equations"" , Computational Optimization and Applications, vol.10, no.2, pp-195-210"
6607,"Akra, M. and Bazzi, L. 1998. ""On the solution of linear recurrence equations"" , COMPUTATIONAL OPTIMIZATION AND APPLICATIONS, vol.10, no.2, pp-195-210"
6608,"Bazzi, L.M.J. 2007. ""Polylogarithmic independence can fool DNF formulas"" , Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS(63-73)"
6609,"Bazzi, L., Richardson, T., and Urbanke, R. 2000. ""Exact thresholds and optimal codes for the binary symmetric channel and Gallager\'s decoding algorithm A"" , IEEE International Symposium on Information Theory - Proceedings"
6610,"Dietrich, A. 2008. ""Imaging the imagination: The trouble with motor imagery"" , Methods, vol.45, no.4, pp-319-324"
6611,"Dietrich, A., et al. 2008. ""Neuroimaging in the Sport Sciences"" , Methods, vol.45, no.4, pp-253-342"
6612,"Dietrich, A. 2007. ""Who\'s afraid of a cognitive neuroscience of creativity?"" , Methods, vol.42, no.1, pp-22-27"
6613,"Dietrich, A., et al. 2007. ""Neurocognitive Mechanisms of Creativity: A Toolkit"" , Methods, vol.42, no.1, pp-1-116"
6614,"Dietrich, A. 2004. ""Neurocognitive mechanisms underlying the experience of flow"" , Consciousness and Cognition, vol.13, no.4, pp-746-761"
6615,"Dietrich, A. 2004. ""The cognitive neuroscience of creativity"" , Psychonomic Bulletin and Review, vol.11, no.6, pp-1011-1026"
6616,"Dietrich, A. and McDaniel, W.F. 2004. ""Endocannabinoids and exercise"" , British Journal of Sports Medicine, vol.38, no.5, pp-536-541"
6617,"Sparling, P.B., et al. 2003. ""Exercise activates the endocannabinoid system."" , Neuroreport, vol.14, no.17, pp-2209-2211"
6618,"Dietrich, A. 2003. ""Functional neuroanatomy of altered states of consciousness: The transient hypofrontality hypothesis"" , Consciousness and Cognition, vol.12, no.2, pp-231-256"
6619,"Sparling, P.B., et al. 2003. ""Exercise activates the endocannabinoid system"" , NeuroReport, vol.14, no.17, pp-256-277"
6620,"Dietrich, A. ""Introduction to Consciousness "" , London: Palgrave Macmillan, 2007"
6621,"Salti HI, Nasrallah M, Haddad S, Khairallah W, Salti IS. 2009. ""Enhancing nonmydriatic color photographs of the retina with monochromatic views and a stereo pair to detect diabetic retinopathy."" , Ophthalmic surgery, lasers & imaging : the official journal of the International Society for Imaging in the Eye, vol.40, no.4, pp-373-8"
6622,"Salti HI, Nasrallah MP, Taleb NM, Merheb M, Haddad S, El-Annan J, Khouri A, Salti IS. 2009. ""Prevalence and determinants of retinopathy in a cohort of Lebanese type II diabetic patients."" , Canadian journal of ophthalmology. Journal canadien d\'ophtalmologie, vol.44, no.3, pp-308-13"
6623,"Hawli Y, Nasrallah M, El-Hajj Fuleihan G. 2009. ""Endocrine and musculoskeletal abnormalities in patients with Down syndrome."" , Nature reviews. Endocrinology, vol.5, no.6, pp-327-34"
6624,"Taleb N, Salti H, Al-Mokaddam M, Merheb M, Salti I, Nasrallah M. 2008. ""Prevalence and determinants of albuminuria in a cohort of diabetic patients in Lebanon."" , Annals of Saudi medicine, vol.28, no.6, pp-420-5"
6625,"Merheb M, Daher RT, Nasrallah M, Sabra R, Ziyadeh FN, Barada K. 2007. ""Taurine intestinal absorption and renal excretion test in diabetic patients: a pilot study."" , Diabetes care, vol.30, no.10, pp-2652-4"
6626,"Musharrafieh UM, Nasrallah MP, Sawaya RA, Hijazi ZM, Haddad MC. 2006. ""Chemical neuritis after fine needle aspiration biopsy of thyroid nodule."" , Journal of endocrinological investigation, vol.29, no.10, pp-947-8"
6627,"Serhal DI, Nasrallah MP, Arafah BM. 2004. ""Rapid rise in serum thyrotropin concentrations after thyroidectomy or withdrawal of suppressive thyroxine therapy in preparation for radioactive iodine administration to patients with differentiated thyroid cancer."" , The Journal of clinical endocrinology and metabolism, vol.89, no.7, pp-3285-9"
6628,"Nasrallah MP, Arafah BM. 2003. ""The value of dehydroepiandrosterone sulfate measurements in the assessment of adrenal function."" , The Journal of clinical endocrinology and metabolism, vol.88, no.11, pp-5293-8"
6629,"Arafah BM, Nasrallah MP. 2001. ""Pituitary tumors: pathophysiology, clinical manifestations and management."" , Endocrine-related cancer, vol.8, no.4, pp-287-305"
6630,"Musharrafieh, UM., et al. 2006. ""Chemical neuritis after fine needle aspiration biopsy of thyroid nodule."" , Journal of endocrinological investigation"
6631,"Akoury-Dirani L, Alameddine M. . ""Psychological Assessment Tools Administered in Lebanon with Children and Adolescents"" , The International Journal of Educational and Psychological Assessment"
6632,"Akoury-Dirani L. . ""Intellectual developmental disorders, a forgotten disease in the Arab countries"" , The Arab Journal of Psychiatry"
6633,"Akoury Dirani L. ""La Batterie d’Evaluation Cognitive et Socio-émotionnelle (BECS)"" , 2008"
6634,"Akoury Dirani L. ""La Batterie d’Evaluation Cognitive et Socio-émotionnelle (BECS)"" , 2008"
6635,"Akoury Dirani L. ""Handicap et pédiatrie"" , 2006'"
6636,"Shehadeh, M.A., et al. 2007. ""Multiplane-induced widening of stacking faults in fcc metals"" , Applied Physics Letters, vol.91, no.17"
6637,"Shehadeh, M.A., et al. 2007. ""Dislocation transmission across the Cu/Ni interface: A hybrid atomistic-continuum study"" , Philosophical Magazine, vol.87, no.10, pp-1513-1529"
6638,"Cheng, G.J. and Shehadeh, M.A. 2006. ""Multiscale dislocation dynamics analyses of laser shock peening in silicon single crystals"" , International Journal of Plasticity, vol.22, no.12, pp-2171-2194"
6639,"Shehadeh, M.A., et al. 2006. ""Simulation of shock-induced plasticity including homogeneous and heterogeneous dislocation nucleations"" , Applied Physics Letters, vol.89, no.17"
6640,"Shehadeh, M.A., Zbib, H.M., and De La Rubia, T.D. 2005. ""Multiscale dislocation dynamics simulations of shock compression in copper single crystal"" , International Journal of Plasticity, vol.21, no.12, pp-2369-2390"
6641,"Cheng, G.J. and Shehadeh, M.A. 2005. ""Dislocation behavior in silicon crystal induced by laser shock peening: A multiscale simulation approach"" , Scripta Materialia, vol.53, no.9, pp-1013-1018"
6642,"Shehadeh, M.A., Zbib, H.M., and Diaz De La Rubia, T. 2005. ""Modelling the dynamic deformation and patterning in fee single crystals at high strain rates: Dislocation dynamics plasticity analysis"" , Philosophical Magazine, vol.85, no.15, pp-1667-1685"
6643,"Shehadeh, MA., et al. 2004. ""Multiscale analyses of high strain rate deformation: Anisotropic effects"" , IUTAM SYMPOSIUM ON MESOSCOPIC DYNAMICS OF FRACTURE PROCESS AND MATERIALS STRENGTH, vol.115, pp-183-192"
6644,"Shehadeh, MA., et al. 2004. ""Multiscale analysis of dynamic deformation in monocrystals"" , IUTAM SYMPOSIUM ON MULTISCALE MODELING AND CHARACTERIZATION OF ELASTIC-INELASTIC BEHAVIOR OF ENGINEERING MATERIALS, PROCEEDINGS, vol.114, pp-367-378"
6645,"Zbib, HM., et al. 2004. ""Multiscale Dislocation Dynamics Plasticity"" , INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING, vol.1, no.1, pp-73-89"
6646,"Shehadeh, MA. and Al Qaisia, A. 2002. ""Steady State Response and Stability of Restrained Beam Carrying an Intermediate Mass and Rotary Inertia"""
6647,"Shehadeh, M.A. 2009. ""Modeling of dislocation interaction with shock waves in small vloumes"" , Computational Plasticity X - Fundamentals and Applications"
6648,"Banerjee, S., et al. 2008. ""A multiscale approach for the determination of nonsingular elastic fields of dislocations in bulk and nano-layered materials"" , ASME International Mechanical Engineering Congress and Exposition, Proceedings(1057-1065)"
6649,"Shehadeh, M. and Zbib, H. ""Plastic Deformation in High Pressure, High Strain Rate Shocked Materials. Dislocation Dynamics Analyses"" , Chemistry at Extreme Conditions, 2005"
6650,"Itani H., Liu X., Sarsour E.H., Goswami P.C., Born E., Keen H.L., Sigmund C.D. 2009. ""Regulation of renin gene expression by oxidative stress"" , Hypertension, vol.53, no.6, pp-1070-1076"
6651,"Weatherford E.T., Itani H., Keen H.L., Sigmund C.D. 2007. ""Is peroxisome proliferator-activated receptor-γ a new ""Pal"" of renin?"" , Hypertension, vol.50, no.5, pp-844-846"
6652,"Itani H.A., Liu X., Pratt J.H., Sigmund C.D. 2007. ""Functional characterization of polymorphisms in the kidney enhancer of the human renin gene"" , Endocrinology, vol.148, no.3, pp-1424-1430"
6653,"Kabbani A, Hammud H, Itani Ha, Itani H. 2000. ""Spring water of Lebanese Bekaa valley"" , Journal of Ultra Scientist of Physical Sciences"
6654,"Sharara A, Mansour N, Maasri K, Hashash J, Soweid A, Barada K. 2009. ""Prevalence and risk factors for colonic diverticulosis in the average-risk Lebanese population undergoing screening colonoscopy"""
6655,"Barada K, Okolo C, Field M, Cortas N. ""Chronic diabetes increases Na, K-ATPase Activity, X1 isoform protein abundance and mRNA abundance in rat small intestinal mucosa. The Sodium Pump: Recent Developments"" : The Rockefeller University Press , 1991"
6656,"Barada, K., et al. . ""Neural modulation of glucose absorption in rat jejunum via SGLT1 and GLUT2: dependence on intraluminal glucose concentration""'"
6657,"Ghorayeb, K. and Holmes, J. 2007. ""Black-oil delumping techniques based on compositional information from depletion processes"" , SPE Reservoir Evaluation and Engineering, vol.10, no.5, pp-489-499"
6658,"Nasrabadi, H., Ghorayeb, K., and Firoozabadi, A. 2006. ""Two-phase multicomponent diffusion and convection for reservoir initialization"" , SPE Reservoir Evaluation and Engineering, vol.9, no.5, pp-530-542"
6659,"Jiang, C.G., et al. 2004. ""Two-dimensional numerical simulation of thermo-gravitational convection in a vertical porous column filled with a binary fluid mixture"" , International Journal of Thermal Sciences, vol.43, no.11, pp-1057-1065"
6660,"Faruque, D., et al. 2004. ""Compositional variation considering diffusion and convection for a binary mixture in a porous medium"" , Journal of Porous Media, vol.7, no.2, pp-73-91"
6661,"Ghorayeb, K., Firoozabadi, A., and Anraku, T. 2003. ""Interpretation of the unusual fluid distribution in the Yufutsu gas-condensate field"" , SPE Journal, vol.8, no.2, pp-114-123"
6662,"Ghorayeb, K. and Firoozabadi, A. 2001. ""Features of convection and diffusion in porous media for binary systems"" , Journal of Canadian Petroleum Technology, vol.40, no.2, pp-21-28"
6663,"Ghorayeb, K. and Firoozabadi, A. 2000. ""Modeling multicomponent diffusion and convection in porous media"" , SPE Journal, vol.5, no.2, pp-158-171"
6664,"Ghorayeb, K. and Firoozabadi, A. 2000. ""Molecular, pressure, and thermal diffusion in nonideal multicomponent mixtures"" , AIChE Journal, vol.46, no.5, pp-883-891"
6665,"Firoozabadi, A., Ghorayeb, K., and Shukla, K. 2000. ""Theoretical model of thermal diffusion factors in multicomponent mixtures"" , AIChE Journal, vol.46, no.5, pp-892-900"
6666,"Ghorayeb, K. and Firoozabadi, A. 2000. ""Numerical study of natural convection and diffusion in fractured porous media"" , SPE Journal, vol.5, no.1, pp-12-20"
6667,"Ghorayeb, K., Khallouf, H., and Mojtabi, A. 1999. ""Onset of oscillatory flows in double-diffusive convection"" , International Journal of Heat and Mass Transfer, vol.42, no.4, pp-629-643"
6668,"Ghorayeb, K. and Mojtabi, A. 1997. ""Study of double-diffusive natural convection in a vertical rectangular cavity"" , Comptes Rendus de l\'Academie de Sciences - Serie IIb: Mecanique, Physique, Chimie, Astronomie, vol.324, no.1, pp-19-27"
6669,"Ghorayeb, K. and Mojtabi, A. 1997. ""Double diffusive convection in a vertical rectangular cavity"" , Physics of Fluids, vol.9, no.8, pp-2339-2348"
6670,"Aziz, R.M., et al. 2009. ""Closing the loop between volumetric and material balance estimates- naturally fractured carbonates"" , Society of Petroleum Engineers - Kuwait International Petroleum Conference and Exhibition, KIPCE 2009: Meeting Energy Demand for Long Term Economic Growth(264-271)"
